u_id,tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
kwqaluxnvc,ojepzerbpswffas,21,0,17186,55791,2,1,0,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
kwqaluxnvc,zomdjwkybpkedto,30,1,13185,55099,3,0,1,23,Male,City,UG,Science,1111,11011111,kwqaluxnvc
lbprieypiq,vfyofqprkayxyrp,51,2,9642,184679,1,1,0,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
lbprieypiq,vuccrpbxkqprmay,1,4,5914,47006,2,1,0,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
lbprieypiq,uyfhsbvqfrmfuvi,20,1,4484,45950,3,0,1,23,Female,City,PG,MassComm,11000,11000000,lbprieypiq
lbunehplfe,uejyvyyjluczuli,31,4,21855,88400,1,1,0,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
lbunehplfe,xcavpyjbyngftto,20,3,33760,6519,2,0,1,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
lbunehplfe,igzgkafuocdddkw,10,2,4646,14456,3,0,1,25,Male,City,PG,MassComm,10010,10000001,lbunehplfe
ljfswgecxb,sogvpiahxhafrzk,31,2,12735,4210,1,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
ljfswgecxb,bfvivmfbworzfbx,11,3,16870,3053,2,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
ljfswgecxb,yjpbhxbcnypmgei,21,4,4465,2617,3,1,0,24,Male,City,PG,MassComm,10101,10010011,ljfswgecxb
lwneooztxl,pkcqcevseizraau,10,0,16792,39134,1,0,1,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
lwneooztxl,vzbalpmdfjbculc,31,5,6930,8732,2,1,0,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
lwneooztxl,jubpsxhnzjayknk,1,2,3204,7951,3,1,0,23,Female,City,PG,MassComm,11110,11000100,lwneooztxl
makhzyiaku,uxmxdbdgjsbknmg,1,1,7282,26939,1,1,0,20,Male,City,UG,Science,100,11000011,makhzyiaku
makhzyiaku,yrmhgcmvqxekgqp,30,4,9840,37625,2,0,1,20,Male,City,UG,Science,100,11000011,makhzyiaku
makhzyiaku,plnzkyuypnbrjpd,50,0,11167,29149,3,0,1,20,Male,City,UG,Science,100,11000011,makhzyiaku
mhmwdzvuyq,fugprfpqshbhhqt,30,3,23539,24677,1,0,1,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
mhmwdzvuyq,vnefjviyqhpnzgz,10,0,8482,64517,2,0,1,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
mhmwdzvuyq,idummmffjhbstie,1,1,11898,20421,3,1,0,22,Male,City,UG,Science,1110,10010001,mhmwdzvuyq
mkzwciwjnw,nofhtzooxevkpwn,30,2,6309,12334,1,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
mkzwciwjnw,ylaiqoibcouioez,50,4,11156,7296,2,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
mkzwciwjnw,bnjdtmtiexonzvu,10,3,4894,70111,3,0,1,23,Female,City,UG,Science,1111,11100111,mkzwciwjnw
mlldgdnuld,ppjbiuvuuskfufp,20,0,1524,49136,1,0,1,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
mlldgdnuld,gqscyxuvdlvmauy,31,1,14785,81490,2,1,0,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
mlldgdnuld,hhuamfygxslassw,10,2,6397,85493,3,0,1,21,Female,City,PG,MassComm,11111,10010011,mlldgdnuld
