tran_id,article_id,position,time_before_click,time_on_page,sequence,non-clickbait,clickbait,age,gender,residence,edu_level,edu_stream,news_source,news_interest,id
bpzndcxquaqtpzw,21,1,29000,51662,1,1,0,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
lsffxzybkzdcdnm,40,2,5399,32222,2,0,1,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
dlsdxclfbzzpggv,51,3,8875,31024,3,1,0,21,Female,City,PG,MassComm,11010,11100000,ufldwtcwrf
eophkhsdenjopgd,20,3,11405,2950,1,0,1,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
fpbcffwcnvqscvs,51,4,4606,2666,2,1,0,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
kamrdalsnfadhhn,30,5,3743,2096,3,0,1,23,Male,City,PG,MassComm,1000,11100000,vjcggnyvlz
jcjkayzgmespsok,20,3,17685,22628,1,0,1,21,Male,City,UG,Science,10,10000011,wazzkyivit
pwhnwedtjmigksn,10,5,7401,32301,2,0,1,21,Male,City,UG,Science,10,10000011,wazzkyivit
jetdairiraxeqeb,31,1,1028,1563,3,1,0,21,Male,City,UG,Science,10,10000011,wazzkyivit
fopkxxailkdvotg,10,1,12753,40976,1,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
etehcelkqtieclb,30,2,4121,11350,2,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
frighffopntzvqc,40,0,2671,4268,3,0,1,23,Male,City,UG,Science,0,0,wcycjnjwqd
aprtrgfnuiipggb,10,1,44495,138049,1,0,1,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
laejhzpnesxgrup,50,0,8517,34840,2,0,1,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
nbkpxfsmtbkvucp,31,3,2161,12117,3,1,0,24,Male,City,PG,MassComm,11110,11110000,wkxyikxqcr
qpqhyaktuwhxhui,1,2,16011,13010,1,1,0,19,Male,City,UG,Science,1000,11100100,wxttezpjbx
zeucmxrbxwozuru,51,5,3328,9906,2,1,0,19,Male,City,UG,Science,1000,11100100,wxttezpjbx
lxqhxtzodjjqgtf,41,3,6845,3707,3,1,0,19,Male,City,UG,Science,1000,11100100,wxttezpjbx
cwstzrnpmrtnzlh,10,5,11659,3450,1,0,1,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
gtzzzwhyztkkqut,41,4,3684,2289,2,1,0,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
iaqewvekgzahxhb,20,1,1674,1867,3,0,1,22,Female,City,PG,MassComm,11000,1000100,xsoobrcbgf
xriuvauvwkpzgur,30,4,23041,11062,1,0,1,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
kwvordeaohjscgf,20,0,10175,6141,2,0,1,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
zssstwqcsholhcx,11,5,7928,1570,3,1,0,20,Female,City,UG,Science,1010,1000111,ydscsrcrdb
yzhfvqhalxonsha,30,5,12866,33434,1,0,1,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
bcwfiphukikisul,11,2,4504,2498,2,1,0,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
xefdhkhhdecxiin,20,0,1161,6412,3,0,1,24,Female,Town,PG,MassComm,11111,11010000,yvliqtdhub
brwzuyxwrmupehy,20,3,20359,7473,1,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
cmvvukvigyakgui,0,1,2739,1468,2,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
pfwslrxcrlfjscc,0,1,884,1316,3,0,1,20,Female,Town,PG,MassComm,11000,11000111,zeqyleyefr
ekgpgxvpbfktgcz,50,3,7544,2037,1,0,1,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
nthyxeafwhwfaiv,30,2,3402,908,2,0,1,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
njbqrrgrzqwltuz,41,0,1691,831,3,1,0,20,Male,City,UG,Science,1100,1100000,zipsbyluqs
ismljnfktritgax,41,5,15921,5375,1,1,0,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
ajxztpejjwjublx,0,3,7431,2812,2,0,1,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
rjhokraaearfrlp,10,0,5516,1925,3,0,1,21,Male,City,PG,MassComm,1010,10100011,zlfqltfgkt
